Local time,Open,High,Low,Close,Volume
27.10.2020 23:00:00.000 GMT+0200,136.164,136.275,134.881,135.422,180858.0589
28.10.2020 23:00:00.000 GMT+0200,135.426,135.944,134.643,135.207,192419.90220000004
29.10.2020 23:00:00.000 GMT+0200,135.144,135.799,134.399,135.461,197563.36119999998
30.10.2020 23:00:00.000 GMT+0200,135.461,135.461,135.461,135.461,0
31.10.2020 23:00:00.000 GMT+0200,135.461,135.461,135.461,135.461,0
02.11.2020 00:00:00.000 GMT+0200,135.045,135.429,134.869,135.256,151047.61860000002
03.11.2020 00:00:00.000 GMT+0200,135.212,136.691,135.155,136.366,166404.5398
04.11.2020 00:00:00.000 GMT+0200,136.372,137.378,135.366,135.726,316301.5305000001
05.11.2020 00:00:00.000 GMT+0200,135.706,136.299,135.075,136.041,244754.41079999993
06.11.2020 00:00:00.000 GMT+0200,135.979,136.233,135.462,135.871,233115.10129999998
07.11.2020 00:00:00.000 GMT+0200,135.871,135.871,135.871,135.871,0
08.11.2020 00:00:00.000 GMT+0200,135.871,135.871,135.871,135.871,0
09.11.2020 00:00:00.000 GMT+0200,135.941,138.908,135.730,138.688,287904.0784
10.11.2020 00:00:00.000 GMT+0200,138.687,139.769,138.160,139.700,265006.1873
11.11.2020 00:00:00.000 GMT+0200,139.698,140.282,139.199,139.359,190696.0719
12.11.2020 00:00:00.000 GMT+0200,139.359,139.428,137.744,137.849,186894.1993
13.11.2020 00:00:00.000 GMT+0200,137.844,138.510,137.538,138.046,162660.61010000002
14.11.2020 00:00:00.000 GMT+0200,138.046,138.046,138.046,138.046,0
